CASEID,v728,v729,v730,v731,v732,v733,v734,v735,v736,v737,v738,v739,v740,v872,v873,v874,v875,v876,v877,v878,v879,v880,v881,v882,v883,v884,v885,v886,v887,v888,v889,v890,v891,v892,v893,v894,v895,v896,v897,v898,v899,v900,v901,v902,v903,v904,v905,v906,v907,v908,v909,v910,v911,v912,v913,v914,v915,v916,v917,v918,v919,v920,v921,v922,v922a,v923,v924,v925,v926,v927,v928,v929,v930,v931,v932,v933,v934,v934a,v935,v936,v937,v938,v939,v940,v941,v942,v943,v944,v945,v946,v946a,v947,v948,v949,v950,v951,v952,v953,v954,v955,v956,v957,v958,v959,v959a,v960,v961,v962,v963,v964,v965,v966,v967,v968,v968a,v969,v970,v971,v972,v973,v974,v975,v976,v977,v978,v979,v979a,v980,v981,v982,v983,v984,v985,v986,v987,v988,v989,v990,v991a,v991b,v991c,v992,v993,v994,v995,v996,v997,v998,v999,v1000,v1001,v1002,v1003,v1004,v1005,v1006a,v1006b,v1006c,v1007,v1008,v1009,v1010,v1010a,v1011,v1012,v1013,v1014,v1015,v1016,v1017,v1018,v1019,v1020a,v1020b,v1020c,v1021a,v1021b,v1021c,v1022,v1023,v1024,v1025,v1026a,v1026b,v1026c,v1026d,v1026e,v1026f,v1026g,v1026h,v1027,v1248,v1249,v1250,v1251,v1252a,v1252b,v1252c,v1475,v1476,v1477,v1482,v1482a,v1483,v1484,v1485,v1486,v1486a,v1487,v1488,v1530,v1531,v1532,v1533,v1534,v1535,v1536,v1537
 483,1,5,0,2,4,5,0,3,0,5,0,3,0,1,5,1,4,8,1,0,1,1,1,7,0,25," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,301,12,0,1979,21,1,12,1, 0,3,12,1, 0,3,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,37,0, 8,0,820,1,5, 36,5,5,5,5,37,0, 8,0,820,1,5, 36,5,0,0,0,5,0,0,0,5, 4, 4, 4,96, 4,1,1,0,1,1,0,0,4,50, 0, 0,1,29,21,2, 2,29,5,0,167,3,0,0,0,3,96,995,96,10,  0, 0,5,5,95,95,95,95,95,95,95,95,95,95, 10,0,0,0, 0, 0,0,0,0,0,0,9,9,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0
 484,1,1,0,1,3,8,0,8,0,8,0,8,0,5,0,5,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400, 7,0,1957,43,1,12,1, 0,3,11,5, 0,2,3,40,4,1,32,0, 5,0,711,1,5,5,996,5,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0, 0,0, 0,0,  0,0,0,996,0,0,0,0,32,0, 5,0,711,1,5,996,0,5,5,1,5,0,0,0,5, 7, 7, 5,96, 5,1,1,0,1,1,0,0,4,50, 0, 0,1,28,18,2, 2,18,5,0,167,6,0,0,0,6, 0, 35,35, 0,  9, 9,1,1, 0,95,95,95,95,95,95,95,95,95,  0,0,0,0, 0, 0,0,0,1,5,5,1,9,0,0,0,9,1,0,1,2,2,1,1,2,3,5,3
 485,1,5,0,2,4,5,0,3,0,1,5,2,3,1,1,4,5,2,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400, 9,0,1974,26,1,11,5, 0,2,11,1, 0,3,6,70,7,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,5,5, 0,0, 0,0,  0,0,0,996,5,0, 0,0, 0,0,  0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,0,0,5,0,0,0,5, 4, 4, 1,96, 1,5,0,5,0,0,1,5,1,40, 0, 0,1, 4, 0,1, 1, 4,1,1,167,6,0,0,0,6, 0,  3, 3, 3,  0, 0,5,1, 1, 1, 4,95,95,95,95,95,95,95,  5,0,0,0, 0, 0,0,0,1,5,1,7,9,0,0,0,9,7,0,5,1,5,1,4,3,1,1,1
 486,1,1,0,1,3,1,5,2,3,3,5,4,3,5,0,2,5,2,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400,11,0,1973,27,5,12,1, 0,3,99,0, 0,9,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,71,0,14,0,932,1,1, 60,5,5,5,5,71,0,14,0,932,1,1, 60,5,0,0,0,5,0,0,0,1,96, 5,96, 5, 5,5,0,5,0,0,1,1,1,50, 0, 0,1,29,19,2, 2,29,5,0,143,6,0,0,0,6, 0,  4, 4, 8,  0, 0,5,5,95,95,95,95,95,95,95,95,95,95, 30,0,0,0, 0, 0,0,0,0,0,0,9,9,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0
 487,1,1,0,1,4,8,0,8,0,8,0,8,0,1,1,3,5,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0, 9,0,1965,35,4, 9,5, 0,2,99,0, 0,9,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,22,0, 5,0,691,1,5, 40,3,5,5,5,22,0, 5,0,691,1,5, 40,5,0,0,0,5,0,0,0,5, 4, 4, 4,96, 4,5,0,8,0,0,0,0,8,50, 0, 0,5,47, 0,1, 1,47,5,0,103,3,0,0,0,3, 0,  1, 1, 0,  1, 1,5,1, 2, 2,14,17,95,95,95,95,95,95, 60,0,0,0, 0, 0,0,0,5,1,5,7,9,0,0,0,9,7,0,3,4,2,1,1,3,1,1,1
 488,5,0,0,3,4,1,1,1,1,5,0,3,0,1,1,1,3,1,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,400, 8,0,1948,52,4,16,0, 1,6,99,0, 0,9,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,30,0, 5,0,412,1,1, 56,5,3,1,5,30,0, 5,0,412,1,1, 56,3,0,0,0,1,1,0,0,1,96, 6,96, 6, 6,1,5,0,0,0,5,1,3,50, 0, 0,1,47, 0,1, 1,47,5,0,103,4,0,0,0,4, 0, 40,40, 0,  1, 1,5,1, 2, 0, 2, 5,95,95,95,95,95,95,  6,0,0,0, 0, 0,0,0,1,5,5,1,9,0,0,0,9,1,0,5,2,4,1,3,3,1,1,1
 489,1,1,0,1,3,5,0,3,0,3,1,5,3,5,0,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0,99,0,1958,42,5,14,0, 7,5,99,0, 0,9,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,20,0, 4,0,623,1,5, 35,1,3,5,5,20,0, 4,0,623,1,5, 35,3,0,0,0,5,0,0,0,1,96, 4,96, 4, 4,1,5,0,0,0,1,1,1,50, 0, 0,1,60, 0,1, 1,60,8,0,103,3,0,0,0,3, 6,  1, 1, 6,  1, 1,5,5,95,95,95,95,95,95,95,95,95,95, 45,0,0,0, 0, 0,0,0,5,1,5,6,9,0,0,0,9,6,0,3,8,3,2,2,3,1,1,1
 490,5,0,0,3,5,1,5,2,3,5,0,3,0,1,1,3,5,3,1,0,4,0,1,1,0, 6," ",0,0,0,0,1,0,0,0,0,0," "," "," ",0,0,0,5,5,270, 5,0,1974,26,1,16,0, 1,6,15,0,96,4,7,18,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,1,0, 0,0, 0,0,  0,0,0,996,0,0, 9,0, 2,0,842,1,1, 60,5,5,1,5, 9,0, 2,0,842,1,1, 60,5,0,0,0,1,1,0,0,5, 8, 8, 2,96, 2,1,5,0,0,0,1,5,1,50, 0, 0,5, 1,24,2, 3,20,5,0,162,1,0,0,0,1, 0,  1, 1, 0,  1, 1,1,5,95,95,95,95,95,95,95,95,95,95, 15,1,6,1, 9, 1,0,0,1,5,5,9,1,5,0,0,2,2,1,0,2,2,2,1,2,3,5,3
 491,1,1,0,1,4,1,1,1,3,5,0,3,0,5,0,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0,10,0,1970,30,1,12,5, 0,2, 8,5, 0,1,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,47,0,10,0, 60,5,0, 40,5,3,5,5,47,0,10,0, 60,5,0, 40,3,0,0,0,5,0,0,0,5, 6, 6, 6,96, 6,5,0,5,0,0,1,5,1,50, 0, 0,1,19, 0,1, 1,19,5,0,171,5,0,0,0,5, 0, 11,11, 0,  6, 6,1,1, 2, 2, 3, 2,95,95,95,95,95,95, 38,0,0,0, 0, 0,0,0,5,5,5,1,9,0,0,0,9,1,0,5,5,2,3,2,4,1,1,1
 492,1,1,0,1,4,1,5,2,3,3,1,5,1,1,5,2,4,2,1,0,3,0,1,7,0,22," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1, 20, 6,0,1959,41,1,11,1, 0,3,14,0,96,4,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,65,0,12,0,401,1,1, 60,5,5,5,5,65,0,12,0,401,1,1, 60,5,0,0,0,1,2,4,0,5, 6, 6, 6,96, 6,1,5,0,0,0,1,1,1,10, 0, 0,1,96,87,2, 2, 0,5,0,123,7,0,0,0,7, 0, 41,41,18,  0, 1,5,1, 0,95,95,95,95,95,95,95,95,95,100,1,1,1, 2, 8,0,0,5,1,5,6,9,0,0,0,9,6,0,3,2,2,2,4,2,1,1,1
