CASEID,v728,v729,v730,v731,v732,v733,v734,v735,v736,v737,v738,v739,v740,v872,v873,v874,v875,v876,v877,v878,v879,v880,v881,v882,v883,v884,v885,v886,v887,v888,v889,v890,v891,v892,v893,v894,v895,v896,v897,v898,v899,v900,v901,v902,v903,v904
  32,5,0,0,3,1,5,0,3,0,1,5,2,5,1,5,1,3,1,1,0,1,2,1,1,0, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,135
  33,1,1,0,1,5,8,0,8,0,8,0,8,0,1,1,2,4,2,1,0,3,0,1,7,0,22," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5, 20
  34,3,0,1,5,3,1,1,1,3,3,1,5,1,1,5,2,4,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,400
  35,5,0,0,3,4,1,1,1,3,3,5,4,3,1,3,2,4,1,1,0,1,1,1,1,0, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,135
  36,1,1,0,1,4,1,1,1,3,8,0,8,0,5,0,3,5,2,1,0,3,0,1,7,0,10," ",0,0,0,0,0,0,0,2,0,0," "," "," ",0,0,0,5,5, 20
  37,1,5,0,2,4,5,0,3,0,3,5,4,3,1,3,4,4,2,1,0,4,0,1,1,0, 3," ",0,0,1,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,220
  38,1,1,0,1,4,8,0,8,0,8,0,8,0,5,0,2,5,2,5,1,0,0,5,0,1, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,135
  39,5,0,0,3,4,1,1,1,1,5,0,3,0,1,1,2,4,1,5,1,0,0,5,0,1, 1," ",7,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,149
  40,1,1,0,1,4,5,0,3,0,5,0,3,0,1,5,1,2,1,1,0,2,0,1,1,0, 1," ",7,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,149
  41,5,0,0,3,3,1,5,2,1,5,0,3,0,1,3,4,4,2,1,0,2,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
  42,1,1,0,1,5,1,5,2,3,8,0,8,0,5,0,3,4,8,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,400
  43,5,0,0,3,4,5,0,3,0,5,0,3,0,1,3,5,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
  44,1,1,0,1,3,5,0,3,0,5,0,3,0,5,0,2,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
  45,1,1,0,1,5,5,0,3,0,1,1,1,1,1,5,1,2,1,1,0,1,2,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
  46,1,1,0,1,5,1,1,1,5,8,0,8,0,1,3,1,4,1,1,0,1,2,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,400
  47,1,5,0,2,2,8,0,8,0,8,0,8,0,5,0,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
  48,5,0,0,3,5,8,0,8,0,8,0,8,0,1,5,1,4,3,1,0,1,1,1,7,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,1,1,230
  49,1,1,0,1,5,5,0,3,0,5,0,3,0,1,5,1,4,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
  50,1,1,0,1,5,8,0,8,0,8,0,8,0,1,1,2,3,2,1,0,1,1,1,1,0, 6," ",0,0,0,0,8,0,0,0,0,0," "," "," ",0,0,0,1,5,279
  51,1,1,0,1,4,1,1,1,1,1,1,1,1,1,5,3,4,2,1,0,1,1,1,1,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,5,5,230
  52,3,0,1,5,4,1,1,1,1,1,5,2,3,5,0,2,4,1,5,1,0,0,5,0,7, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,135
  53,3,0,1,5,2,1,5,2,3,5,0,3,0,1,5,1,2,2,1,0,1,2,1,7,0,21," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,719
  54,1,1,0,1,4,1,1,1,1,5,0,3,0,1,3,7,5,3,5,1,0,0,5,0,3, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,2,5,0,500
  55,3,0,1,5,1,1,5,2,3,3,1,5,3,1,3,9,5,3,1,0,9,0,1,3,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,3,0,5,0,503
  56,3,0,1,5,4,1,5,2,1,3,5,4,3,1,5,1,1,7,1,0,1,2,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,400
  57,1,5,0,2,4,1,5,2,3,5,0,3,0,1,1,3,4,2,1,0,3,0,1,1,0, 1," ",3,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,120
  58,1,5,0,2,3,1,5,2,3,3,1,5,3,1,3,2,4,2,1,0,4,0,1,1,0, 2," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,110
  59,5,0,0,3,4,5,0,3,0,5,0,3,0,1,3,2,3,2,1,0,3,0,1,1,0, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,135
  60,1,5,0,2,1,8,0,8,0,5,0,3,0,5,0,4,5,2,1,0,4,0,1,7,0,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",1,0,0,1,1,990
  61,1,1,0,1,4,1,1,1,3,1,1,1,1,1,3,4,4,2,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
  62,1,1,0,1,3,5,0,3,0,5,0,3,0,1,1,2,3,1,1,0,1,2,1,7,0,22," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1, 20
  63,5,0,0,3,4,8,0,8,0,8,0,8,0,1,1,2,5,2,1,0,2,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
  64,1,1,0,1,4,8,0,8,0,8,0,8,0,1,5,1,4,1,1,0,2,0,1,1,0, 3," ",0,0,2,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,221
  65,5,0,0,3,3,5,0,3,0,3,5,4,5,1,5,2,2,2,1,0,1,1,1,1,0,14," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,290
  66,1,1,0,1,5,1,5,2,5,3,5,4,3,5,0,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
