CASEID,v728,v729,v730,v731,v732,v733,v734,v735,v736,v737,v738,v739,v740,v872,v873,v874,v875,v876,v877,v878,v879,v880,v881,v882,v883,v884,v885,v886,v887,v888,v889,v890,v891,v892,v893,v894,v895,v896,v897,v898,v899,v900,v901,v902,v903,v904
 431,5,0,0,3,4,1,1,1,3,3,1,5,1,1,3,3,4,2,1,0,3,0,1,1,0, 3," ",0,0,7,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,222
 432,1,5,0,2,3,1,1,1,3,5,0,3,0,1,3,2,5,2,1,0,1,1,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 433,1,1,0,1,2,1,1,1,5,3,5,4,5,5,0,5,5,3,5,1,0,0,5,0,3, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,3,5,0,500
 434,1,5,0,2,2,1,1,1,1,5,0,3,0,1,5,1,2,2,1,0,1,2,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 435,5,0,0,3,3,5,0,3,0,1,5,2,3,1,5,3,3,1,1,0,1,1,1,7,0,19," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,269
 436,3,0,1,5,4,1,1,1,3,5,0,3,0,5,0,5,5,3,5,1,0,0,5,0,7,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",5,0,0,5,0,750
 437,1,5,0,2,4,8,0,8,0,8,0,8,0,1,3,2,2,1,1,0,1,1,1,1,0, 1," ",3,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,120
 438,1,5,0,2,3,8,0,8,0,8,0,8,0,1,5,1,5,2,1,0,2,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 439,1,5,0,2,5,1,1,1,1,5,0,3,0,5,0,4,5,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 440,5,0,0,3,4,1,5,2,3,5,0,3,0,1,1,4,5,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 441,5,0,0,3,3,8,0,8,0,8,0,8,0,1,3,1,4,1,1,0,1,1,1,1,0,12," ",0,0,0,0,0,0,0,0,1,0," "," "," ",0,0,0,1,1,292
 442,5,0,0,3,5,5,0,3,0,8,0,8,0,1,3,2,4,1,1,0,4,0,1,1,0,16," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,250
 443,5,0,0,3,5,5,0,3,0,5,0,3,0,1,5,1,2,1,1,0,3,0,1,7,0,10," ",0,0,0,0,0,0,0,7,0,0," "," "," ",0,0,0,1,1, 20
 444,1,1,0,1,3,1,1,1,3,5,0,3,0,5,0,5,5,2,1,0,4,0,1,1,0,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",1,0,0,5,5, 40
 445,1,5,0,2,5,5,0,3,0,1,5,2,3,1,1,5,4,1,1,0,4,0,1,7,0, 6," ",0,0,0,0,7,0,0,0,0,0," "," "," ",0,0,0,5,5,279
 446,1,1,0,1,4,1,1,1,3,5,0,3,0,1,3,2,4,2,1,0,4,0,1,1,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,1,5,230
 447,3,0,1,5,3,1,1,1,1,3,1,5,1,1,5,3,4,2,1,0,3,0,1,7,0,10," ",0,0,0,0,0,0,0,2,0,0," "," "," ",0,0,0,5,1, 20
 448,5,0,0,3,4,5,0,3,0,5,0,3,0,1,3,1,5,2,5,1,0,0,5,0,1, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,135
 449,1,1,0,1,3,5,0,3,0,3,1,5,1,1,5,1,1,1,1,0,1,2,1,1,0, 1," ",2,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,121
 450,1,1,0,1,4,8,0,8,0,8,0,8,0,1,1,3,5,1,5,1,0,0,5,0,1, 1," ",3,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,120
 451,1,1,0,1,3,1,5,2,3,3,1,5,5,1,5,4,3,2,1,0,3,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
 452,1,1,0,1,5,8,0,8,0,8,0,8,0,1,5,3,3,1,1,0,1,1,1,1,0,22," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5, 20
 453,1,1,0,1,4,1,1,1,3,3,1,5,1,1,1,3,5,2,1,0,3,0,1,1,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,1,5,230
 454,5,0,0,3,5,1,1,1,1,5,0,3,0,1,1,3,5,2,5,1,0,0,5,0,7,23," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,8,301
 455,1,5,0,2,3,5,0,3,0,5,0,3,0,1,5,1,5,2,1,0,1,2,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 456,1,1,0,1,4,1,1,1,3,8,0,8,0,1,3,2,4,2,1,0,2,0,1,1,0, 6," ",0,0,0,0,1,0,0,0,0,0," "," "," ",0,0,0,1,1,270
 457,5,0,0,3,3,1,5,2,3,5,0,3,0,1,1,4,4,3,1,0,4,0,1,3,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,3,0,1,0,503
 458,1,1,0,1,4,1,5,2,5,5,0,3,0,5,0,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 459,5,0,0,3,3,1,1,1,3,3,5,4,5,1,5,2,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
 460,5,0,0,3,2,5,0,3,0,1,5,2,3,1,1,2,4,2,1,0,2,0,1,7,0,25," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,301
 461,5,0,0,3,3,1,5,2,5,8,0,8,0,1,5,7,2,2,1,0,1,1,1,7,0,25," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,301
 462,1,1,0,1,5,1,5,2,3,5,0,3,0,1,5,1,4,7,1,0,1,1,1,7,0,23," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,301
 463,1,1,0,1,4,1,5,2,3,5,0,3,0,1,5,2,7,2,1,0,1,1,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 464,5,0,0,3,3,1,1,1,1,3,5,4,5,1,5,4,5,2,1,0,1,1,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 465,1,1,0,1,3,5,0,3,0,5,0,3,0,1,3,1,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 466,5,0,0,3,4,5,0,3,0,5,0,3,0,1,5,2,4,1,1,0,4,0,1,1,0, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,135
 467,1,1,0,1,3,1,5,2,5,5,0,3,0,1,3,2,4,2,1,0,1,2,1,1,0,14," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,290
 468,1,5,0,2,4,8,0,8,0,3,5,4,3,1,5,1,1,1,1,0,1,1,1,7,0,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",1,0,0,1,5,269
 469,1,1,0,1,4,1,5,2,3,3,1,5,1,5,0,4,5,3,5,1,0,0,5,0,3, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,7,5,0,500
 470,1,1,0,1,5,1,5,2,3,5,0,3,0,1,5,2,3,2,1,0,1,1,1,1,0, 3," ",0,0,2,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,221
 471,1,1,0,1,4,1,1,1,3,1,1,1,3,5,0,4,7,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 472,5,0,0,3,4,1,5,2,3,5,0,3,0,1,3,2,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 473,1,5,0,2,4,8,0,8,0,5,0,3,0,5,0,5,5,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 474,1,5,0,2,5,8,0,8,0,8,0,8,0,1,5,2,4,2,1,0,2,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
 475,1,1,0,1,5,1,5,2,3,1,5,2,3,5,0,4,5,3,1,0,4,0,1,7,0, 6," ",0,0,0,0,1,0,0,0,0,0," "," "," ",0,0,0,5,5,270
 476,1,5,0,2,3,8,0,8,0,8,0,8,0,1,5,2,2,2,1,0,1,2,1,1,0, 2," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,110
 477,1,1,0,1,4,8,0,8,0,8,0,8,0,5,0,5,5,3,1,0,1,2,1,7,0,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",1,0,0,1,5, 40
 478,1,5,0,2,2,8,0,8,0,8,0,8,0,5,0,2,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 479,5,0,0,3,4,1,5,2,3,5,0,3,0,1,5,1,3,2,1,0,2,0,1,1,0,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",1,0,0,1,1,182
 480,1,5,0,2,4,1,5,2,3,5,0,3,0,1,5,1,4,2,1,0,2,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,9,400
 481,3,0,5,4,4,1,1,1,1,3,5,4,1,5,0,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 482,1,5,0,2,3,1,5,2,3,5,0,3,0,5,0,2,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 483,1,5,0,2,4,5,0,3,0,5,0,3,0,1,5,1,4,8,1,0,1,1,1,7,0,25," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,301
 484,1,1,0,1,3,8,0,8,0,8,0,8,0,5,0,5,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
 485,1,5,0,2,4,5,0,3,0,1,5,2,3,1,1,4,5,2,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 486,1,1,0,1,3,1,5,2,3,3,5,4,3,5,0,2,5,2,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
 487,1,1,0,1,4,8,0,8,0,8,0,8,0,1,1,3,5,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 488,5,0,0,3,4,1,1,1,1,5,0,3,0,1,1,1,3,1,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,400
 489,1,1,0,1,3,5,0,3,0,3,1,5,3,5,0,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 490,5,0,0,3,5,1,5,2,3,5,0,3,0,1,1,3,5,3,1,0,4,0,1,1,0, 6," ",0,0,0,0,1,0,0,0,0,0," "," "," ",0,0,0,5,5,270
 491,1,1,0,1,4,1,1,1,3,5,0,3,0,5,0,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 492,1,1,0,1,4,1,5,2,3,3,1,5,1,1,5,2,4,2,1,0,3,0,1,7,0,22," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1, 20
 493,5,0,0,3,3,1,1,1,1,5,0,3,0,5,0,2,5,2,1,0,3,0,1,1,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,1,5,230
 494,1,1,0,1,4,8,0,8,0,5,0,3,0,1,3,1,4,2,1,0,2,0,1,1,0, 2," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,110
 495,5,0,0,3,3,1,5,2,3,8,0,8,0,5,0,5,5,3,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 496,5,0,0,3,2,1,1,1,3,5,0,3,0,1,1,4,5,2,5,1,0,0,5,0,1, 6," ",0,0,0,0,1,0,0,0,0,0," "," "," ",0,0,0,1,5,270
 497,1,5,0,2,3,1,5,2,3,5,0,3,0,9,0,9,9,9,9,0,0,0,9,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,995
 498,1,1,0,1,5,1,1,1,1,3,1,5,3,1,5,2,4,2,1,0,3,0,1,7,0, 1," ",8,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,149
 499,1,5,0,2,3,8,0,8,0,8,0,8,0,1,1,2,5,1,5,1,0,0,5,0,7,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",1,0,0,5,5, 20
 500,1,1,0,1,5,5,0,3,0,5,0,3,0,1,5,1,3,1,1,0,1,1,1,7,0,22," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1, 20
 501,1,1,0,1,4,1,5,2,3,5,0,3,0,5,0,4,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 502,5,0,0,3,5,1,1,1,1,5,0,3,0,5,0,4,4,2,1,0,4,0,1,1,0,22," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1, 20
 503,3,0,1,5,4,1,5,2,3,3,5,4,5,5,0,5,5,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 504,5,0,0,3,5,1,1,1,1,5,0,3,0,5,0,3,4,3,1,0,5,0,5,0,7,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",5,0,0,5,0,800
 505,5,0,0,3,4,1,1,1,1,5,0,3,0,5,0,2,5,3,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 506,9,0,0,9,1,8,0,8,0,8,0,8,0,1,5,1,4,1,1,0,3,0,1,7,0,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",1,0,0,1,5,304
 507,5,0,0,3,3,8,0,8,0,8,0,8,0,1,3,4,7,8,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 508,1,1,0,1,4,8,0,8,0,8,0,8,0,5,0,1,3,1,1,0,1,1,1,7,0,25," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,301
 509,1,1,0,1,4,1,1,1,3,1,5,2,3,1,3,1,4,1,1,0,1,1,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 510,1,1,0,1,4,8,0,8,0,8,0,8,0,1,3,1,4,9,1,0,3,0,1,7,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,1,5,230
 511,5,0,0,3,5,5,0,3,0,1,1,1,3,1,3,3,3,1,1,0,3,0,1,7,0,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",1,0,0,1,1, 20
 512,1,1,0,1,4,1,5,2,5,1,1,1,3,1,5,1,4,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 513,1,1,0,1,4,1,1,1,3,3,1,5,3,5,0,4,5,1,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 514,1,1,0,1,4,8,0,8,0,8,0,8,0,1,5,1,2,1,1,0,1,2,1,1,0, 6," ",0,0,0,0,1,0,0,0,0,0," "," "," ",0,0,0,1,1,270
 515,1,1,0,1,5,1,1,1,5,3,1,5,5,1,1,2,5,1,1,0,2,0,1,1,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,1,5,230
 516,1,1,0,1,4,1,1,1,1,3,1,5,5,1,5,2,5,3,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 517,1,1,0,1,3,1,5,2,5,5,0,3,0,5,0,4,5,3,5,1,0,0,5,0,1, 2," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,110
 518,1,1,0,1,4,1,5,2,5,3,5,4,3,5,0,5,5,3,5,1,0,0,5,0,3, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,7,5,0,500
 519,5,0,0,3,4,8,0,8,0,1,5,2,3,1,5,1,1,2,1,0,4,0,1,1,0,19," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,255
 520,5,0,0,3,3,8,0,8,0,1,5,2,5,1,5,1,3,1,1,0,1,1,1,1,0,15," ",0,0,0,0,0,0,0,0,0,1," "," "," ",0,0,0,1,1,181
 521,1,1,0,1,4,3,1,5,1,1,1,1,1,1,3,2,4,3,1,0,1,2,1,1,0,12," ",0,0,0,0,0,0,0,0,1,0," "," "," ",0,0,0,1,1,292
 522,5,0,0,3,3,1,5,2,3,5,0,3,0,1,1,3,5,2,1,0,3,0,1,1,0, 3," ",0,0,1,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,220
 523,1,1,0,1,3,1,5,2,1,3,1,5,1,1,9,4,5,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 524,1,1,0,1,5,1,1,1,3,5,0,3,0,1,5,1,2,1,1,0,1,2,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 525,1,1,0,1,5,8,0,8,0,8,0,8,0,1,1,4,5,2,1,0,3,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
 526,1,5,0,2,5,8,0,8,0,8,0,8,0,1,5,2,4,1,1,0,1,1,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
 527,5,0,0,3,3,5,0,3,0,5,0,3,0,1,3,3,4,1,1,0,2,0,1,1,0, 3," ",0,0,1,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,220
 528,1,1,0,1,4,8,0,8,0,8,0,8,0,1,1,9,9,9,9,0,0,0,9,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,995
 529,5,0,0,3,4,1,1,1,1,5,0,3,0,1,5,1,3,1,1,0,2,0,1,1,0,10," ",0,0,0,0,0,0,0,2,0,0," "," "," ",0,0,0,5,1, 20
 530,5,0,0,3,3,1,1,1,3,5,0,3,0,1,1,4,5,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 531,1,1,0,1,5,1,1,1,3,1,1,1,3,1,5,1,3,1,1,0,1,2,1,7,0, 1," ",2,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,121
 532,1,1,0,1,3,1,1,1,5,3,1,5,1,5,0,5,5,3,1,0,4,0,1,9,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,0,999
 533,5,0,0,3,3,1,1,1,1,5,0,3,0,1,5,1,5,1,1,0,4,0,1,1,0,10," ",0,0,0,0,0,0,0,7,0,0," "," "," ",0,0,0,5,1, 20
 534,1,5,0,2,3,1,1,1,3,3,5,4,5,5,0,4,5,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 535,1,1,0,1,4,1,1,1,1,3,5,4,3,5,0,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 536,5,0,0,3,2,1,1,1,3,5,0,3,0,5,0,1,2,1,1,0,1,2,1,1,0,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",1,0,0,1,1, 20
 537,1,5,0,2,2,1,5,2,5,5,0,3,0,1,3,2,4,2,1,0,1,1,1,1,0, 6," ",0,0,0,0,1,0,0,0,0,0," "," "," ",0,0,0,1,5,270
 538,1,5,0,2,4,1,5,2,5,5,0,3,0,1,3,3,5,2,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 539,1,5,0,2,4,5,0,3,0,5,0,3,0,1,3,2,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
 540,5,0,0,3,5,1,5,2,5,5,0,3,0,1,5,3,4,2,1,0,2,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 541,8,0,0,8,8,1,5,2,1,5,0,3,0,1,1,3,5,2,5,1,0,0,5,0,1, 1," ",7,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,149
 542,1,1,0,1,5,1,1,1,3,8,0,8,0,1,1,3,5,1,1,0,2,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 543,5,0,0,3,5,1,1,1,1,1,5,2,5,1,5,1,4,1,1,0,3,0,1,1,0, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,135
 544,5,0,0,3,5,1,1,1,1,5,0,3,0,1,5,1,2,2,1,0,2,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,400
 545,1,1,0,1,5,8,0,8,0,5,0,3,0,1,5,1,4,2,1,0,1,1,1,1,0, 3," ",0,0,2,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,221
 546,1,5,0,2,4,1,1,1,5,8,0,8,0,1,5,1,2,1,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,400
 547,1,1,0,1,5,1,1,1,1,1,5,2,5,1,5,1,2,1,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 548,1,1,0,1,5,8,0,8,0,8,0,8,0,1,3,4,4,2,5,1,0,0,5,0,1, 3," ",0,0,8,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,229
 549,5,0,0,3,4,1,5,2,3,5,0,3,0,1,3,2,4,2,1,0,2,0,1,1,0, 1," ",7,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,149
 550,1,5,0,2,3,1,5,2,3,5,0,3,0,1,5,1,2,1,1,0,1,2,1,7,0, 1," ",4,2,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,148
 551,5,0,0,3,5,8,0,8,0,1,5,2,5,1,3,2,4,1,1,0,4,0,1,1,0,10," ",0,0,0,0,0,0,0,1,0,0," "," "," ",0,0,0,5,1,290
 552,1,1,0,1,4,3,1,5,1,1,1,1,1,1,5,1,3,1,1,0,1,2,1,1,0,10," ",0,0,0,0,0,0,0,7,0,0," "," "," ",0,0,0,1,1, 20
 553,1,1,0,1,5,1,1,1,1,5,0,3,0,1,1,4,5,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 554,1,5,0,2,4,5,0,3,0,5,0,3,0,1,5,1,2,1,1,0,1,1,1,1,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,1,5,230
 555,1,1,0,1,4,8,0,8,0,8,0,8,0,1,3,1,4,3,1,0,4,0,1,7,0,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",5,0,0,5,0,795
 556,5,0,0,3,4,1,5,2,3,5,0,3,0,1,3,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 557,1,5,0,2,4,1,1,1,1,5,0,3,0,1,5,1,3,2,1,0,1,2,1,7,0,25," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,301
 558,5,0,0,3,3,5,0,3,0,5,0,3,0,1,5,2,4,1,1,0,3,0,1,7,0,22," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1, 20
 559,5,0,0,3,5,1,1,1,1,5,0,3,0,1,3,4,5,2,5,1,0,0,5,0,1, 3," ",0,0,1,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,220
 560,1,1,0,1,5,1,5,2,3,1,5,2,3,1,5,1,4,2,1,0,4,0,1,7,0, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,135
 561,1,5,0,2,2,1,1,1,5,3,1,5,5,1,3,2,4,8,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 562,1,1,0,1,3,8,0,8,0,8,0,8,0,1,1,4,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 563,5,0,0,3,5,1,1,1,1,1,1,1,1,1,5,1,3,1,1,0,3,0,1,7,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,1,1,230
 564,5,0,0,3,5,8,0,8,0,8,0,8,0,1,3,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 565,1,1,0,1,2,5,0,3,0,5,0,3,0,1,5,4,5,1,1,0,3,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,400
 566,1,5,0,2,3,1,1,1,3,1,1,1,3,1,5,1,3,1,1,0,1,2,1,1,0,19," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,269
 567,1,1,0,1,3,1,5,2,5,1,5,2,5,1,3,1,2,1,1,0,1,2,1,1,0, 1," ",3,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,120
 568,1,1,0,1,4,5,0,3,0,1,1,1,5,5,0,2,4,1,1,0,3,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,400
 569,1,1,0,1,4,1,5,2,3,5,0,3,0,1,1,3,5,2,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 570,1,1,0,1,3,1,5,2,3,1,5,2,5,5,0,4,4,2,5,1,0,0,5,0,1, 1," ",4,2,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,148
 571,5,0,0,3,5,1,1,1,1,5,0,3,0,1,3,4,4,2,1,0,4,0,1,7,0,12," ",0,0,0,0,0,0,0,0,1,0," "," "," ",0,0,0,5,5,292
 572,1,5,0,2,5,5,0,3,0,1,1,1,3,1,5,4,3,2,1,0,4,0,1,7,0, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,135
 573,5,0,0,3,4,1,1,1,3,5,0,3,0,1,3,1,2,1,1,0,2,0,1,1,0, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,135
 574,5,0,0,3,5,5,0,3,0,1,1,1,3,5,0,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
